"uzemi_txt","b1","b2","b3","b4","b5","b6","b7","b8","b9","b10","b11","b12","pocet_bodovanych_ridicu","celkovy_pocet_ridicu","pohlavi_txt","uzemi_typ","stav_k_datu"
"Blovice",4,55,4,25,1,6,4,3,1,1,1,2,107,3967,"žena","správní obvod obce s rozšířenou působností","2025_03"
"Domažlice",9,109,21,105,4,22,13,3,1,2,1,13,303,13047,"žena","správní obvod obce s rozšířenou působností","2025_03"
"Horažďovice",2,19,6,21,0,6,1,0,2,0,0,1,58,3649,"žena","správní obvod obce s rozšířenou působností","2025_03"
"Horšovský Týn",3,38,7,35,2,8,5,1,1,0,0,7,107,4589,"žena","správní obvod obce s rozšířenou působností","2025_03"
"Klatovy",15,157,19,86,6,30,12,2,2,1,5,19,354,16746,"žena","správní obvod obce s rozšířenou působností","2025_03"
"Kralovice",14,96,6,54,2,22,4,2,3,1,0,7,211,7552,"žena","správní obvod obce s rozšířenou působností","2025_03"
"Nepomuk",5,35,4,21,0,6,4,1,0,0,0,7,83,3619,"žena","správní obvod obce s rozšířenou působností","2025_03"
"Nýřany",16,370,14,179,8,50,10,14,2,2,4,19,688,19017,"žena","správní obvod obce s rozšířenou působností","2025_03"
"Plzeň",51,873,47,441,15,118,40,28,1,6,7,70,1697,58168,"žena","správní obvod obce s rozšířenou působností","2025_03"
"Přeštice",7,80,9,66,4,10,5,4,0,4,0,11,200,7663,"žena","správní obvod obce s rozšířenou působností","2025_03"
"Rokycany",6,320,15,172,6,37,14,8,3,5,1,12,599,15652,"žena","správní obvod obce s rozšířenou působností","2025_03"
"Stod",6,87,9,54,3,10,7,3,0,0,0,11,190,7051,"žena","správní obvod obce s rozšířenou působností","2025_03"
"Stříbro",9,80,8,57,1,15,5,0,0,3,2,13,193,5308,"žena","správní obvod obce s rozšířenou působností","2025_03"
"Sušice",3,77,5,64,2,27,5,1,0,2,1,6,193,7592,"žena","správní obvod obce s rozšířenou působností","2025_03"
"Tachov",17,132,13,183,7,28,14,4,3,0,2,18,421,10573,"žena","správní obvod obce s rozšířenou působností","2025_03"
"Plzeňský kraj",167,2528,187,1563,61,395,143,74,19,27,24,216,5404,184193,"žena","kraj","2025_03"
"Benešov",13,102,16,156,6,32,10,5,1,5,0,15,361,19621,"žena","správní obvod obce s rozšířenou působností","2025_03"
