"uzemi_txt","b1","b2","b3","b4","b5","b6","b7","b8","b9","b10","b11","b12","pocet_bodovanych_ridicu","celkovy_pocet_ridicu","pohlavi_txt","uzemi_typ","stav_k_datu"
"Bílina",6,91,5,39,1,13,4,6,1,2,3,10,181,5021,"žena","správní obvod obce s rozšířenou působností","2025_03"
"Děčín",31,228,38,134,9,65,20,3,3,9,3,40,583,20408,"žena","správní obvod obce s rozšířenou působností","2025_03"
"Chomutov",30,342,20,265,15,71,23,15,4,5,3,42,835,21350,"žena","správní obvod obce s rozšířenou působností","2025_03"
"Kadaň",9,129,4,98,3,29,5,3,1,2,1,9,293,11134,"žena","správní obvod obce s rozšířenou působností","2025_03"
"Litoměřice",7,201,31,143,4,35,21,9,2,2,1,22,478,17508,"žena","správní obvod obce s rozšířenou působností","2025_03"
"Litvínov",15,201,15,120,6,30,16,6,4,2,1,10,426,9570,"žena","správní obvod obce s rozšířenou působností","2025_03"
"Louny",15,225,14,120,4,40,13,5,4,7,0,18,465,12975,"žena","správní obvod obce s rozšířenou působností","2025_03"
"Lovosice",6,76,12,51,3,8,1,2,1,1,0,14,175,8171,"žena","správní obvod obce s rozšířenou působností","2025_03"
"Most",22,222,27,194,8,36,16,8,2,5,2,34,576,18517,"žena","správní obvod obce s rozšířenou působností","2025_03"
"Podbořany",8,78,5,32,2,8,3,2,1,1,1,10,151,4205,"žena","správní obvod obce s rozšířenou působností","2025_03"
"Roudnice nad Labem",5,89,7,75,3,18,6,5,0,4,2,20,234,10324,"žena","správní obvod obce s rozšířenou působností","2025_03"
"Rumburk",5,88,7,92,1,13,10,5,3,0,4,28,256,8260,"žena","správní obvod obce s rozšířenou působností","2025_03"
"Teplice",37,522,64,261,17,69,23,19,7,8,3,51,1081,30433,"žena","správní obvod obce s rozšířenou působností","2025_03"
"Ústí nad Labem",27,341,32,209,5,74,28,6,4,9,5,55,795,31029,"žena","správní obvod obce s rozšířenou působností","2025_03"
"Varnsdorf",1,39,10,36,1,15,5,1,0,0,1,11,120,5289,"žena","správní obvod obce s rozšířenou působností","2025_03"
"Žatec",6,114,8,92,4,22,6,8,5,3,0,12,280,7760,"žena","správní obvod obce s rozšířenou působností","2025_03"
"Ústecký kraj",230,2986,299,1961,86,546,200,103,42,60,30,386,6929,221954,"žena","kraj","2025_03"
"Bystřice pod Hostýnem",5,41,10,32,1,4,2,2,2,1,0,2,102,4618,"žena","správní obvod obce s rozšířenou působností","2025_03"
"Holešov",10,70,9,87,1,12,4,1,0,1,0,5,200,6623,"žena","správní obvod obce s rozšířenou působností","2025_03"
"Kroměříž",25,364,26,162,8,56,22,9,6,5,4,20,707,20098,"žena","správní obvod obce s rozšířenou působností","2025_03"
"Luhačovice",6,37,5,36,0,9,4,0,0,0,0,4,101,5687,"žena","správní obvod obce s rozšířenou působností","2025_03"
"Otrokovice",14,120,9,100,3,39,11,2,0,2,4,8,312,10006,"žena","správní obvod obce s rozšířenou působností","2025_03"
"Rožnov pod Radhoštěm",4,97,11,97,3,19,16,4,0,1,0,8,260,10620,"žena","správní obvod obce s rozšířenou působností","2025_03"
"Uherské Hradiště",40,260,32,202,2,73,16,6,11,5,4,22,673,27494,"žena","správní obvod obce s rozšířenou působností","2025_03"
"Uherský Brod",19,126,14,100,4,24,11,5,0,2,0,14,319,15336,"žena","správní obvod obce s rozšířenou působností","2025_03"
"Valašské Klobouky",10,39,7,55,1,7,2,4,0,0,0,1,126,6633,"žena","správní obvod obce s rozšířenou působností","2025_03"
"Valašské Meziříčí",14,89,15,104,0,31,8,4,1,5,0,13,284,12899,"žena","správní obvod obce s rozšířenou působností","2025_03"
"Vizovice",4,69,3,51,1,9,4,0,0,2,0,5,148,5546,"žena","správní obvod obce s rozšířenou působností","2025_03"
"Vsetín",20,185,24,147,11,45,11,6,4,1,0,21,475,18602,"žena","správní obvod obce s rozšířenou působností","2025_03"
"Zlín",36,311,38,236,6,51,22,13,1,4,1,21,740,31866,"žena","správní obvod obce s rozšířenou působností","2025_03"
"Zlínský kraj",207,1808,203,1409,41,379,133,56,25,29,13,144,4447,176028,"žena","kraj","2025_03"
"ČR",3504,33323,3564,26068,946,7037,2157,1343,366,548,373,3628,82857,3223365,"žena","stát","2025_03"
